Appliances,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint
60,19.890000000000000,47.596666666666700,19.200000000000000,44.790000000000000,19.790000000000000,44.730000000000000,19.000000000000000,45.566666666666700,17.166666666666700,55.200000000000000,7.026666666666670000,84.2566666666667000,17.200000000000000,41.626666666666700,18.200000000000000,48.900000000000000,17.033333333333300,45.530000000000000,6.6E+00,733.50000000000000,92.000000000000000,7.00000000000000000,63.0000000000000000,5.3E+00
40,21.390000000000000,44.560000000000000,20.790000000000000,43.863333333333300,20.200000000000000,45.663333333333300,20.633333333333300,46.790000000000000,19.200000000000000,50.530000000000000,5.590000000000000000,88.6333333333333000,17.700000000000000,43.760000000000000,19.390000000000000,51.163333333333300,16.890000000000000,45.700000000000000,5.3E+00,736.90000000000000,92.000000000000000,6.00000000000000000,22.0000000000000000,4.1E+00
50,20.100000000000000,46.363333333333300,19.500000000000000,44.790000000000000,20.290000000000000,45.590000000000000,19.760000000000000,46.590000000000000,18.500000000000000,50.000000000000000,4.800000000000000000,94.1266666666667000,17.890000000000000,45.663333333333300,19.100000000000000,54.290000000000000,17.100000000000000,49.260000000000000,5E+00,739.90000000000000,91.000000000000000,5.00000000000000000,40.0000000000000000,3.6E+00
50,19.890000000000000,46.766666666666700,19.033333333333300,44.500000000000000,20.000000000000000,44.790000000000000,20.133333333333300,44.700000000000000,18.033333333333300,49.326666666666700,5.530000000000000000,96.1900000000000000,17.700000000000000,41.200000000000000,18.500000000000000,49.000000000000000,17.050000000000000,45.245000000000000,6.4E+00,743.30000000000000,86.000000000000000,5.00000000000000000,40.0000000000000000,4.2E+00
60,20.066666666666700,42.833333333333300,19.000000000000000,42.418181818181800,19.790000000000000,44.700000000000000,19.260000000000000,42.560000000000000,17.600000000000000,50.900000000000000,6.156666666666670000,76.8933333333333000,18.138888888888900,37.905555555555600,18.600000000000000,45.790000000000000,17.100000000000000,43.260000000000000,6.5E+00,744.20000000000000,75.000000000000000,7.00000000000000000,29.0000000000000000,2.3E+00
50,19.426666666666700,43.200000000000000,18.700000000000000,43.090000000000000,19.890000000000000,44.900000000000000,19.000000000000000,43.590000000000000,17.290000000000000,51.400000000000000,5.866666666666670000,82.5600000000000000,17.840000000000000,42.495000000000000,18.700000000000000,51.631250000000000,17.000000000000000,46.663333333333300,6E+00,747.40000000000000,80.000000000000000,8.00000000000000000,40.0000000000000000,2.7E+00
50,18.963333333333300,44.200000000000000,18.273125000000000,43.981250000000000,19.890000000000000,45.060000000000000,18.566666666666700,44.200000000000000,17.200000000000000,52.590000000000000,5.690000000000000000,79.6333333333333000,18.012500000000000,44.891875000000000,18.700000000000000,53.784375000000000,17.200000000000000,50.000000000000000,5.2E+00,751.90000000000000,90.000000000000000,8.00000000000000000,22.0000000000000000,3.6E+00
30,19.290000000000000,45.163333333333300,18.790000000000000,44.000000000000000,19.500000000000000,44.000000000000000,19.856666666666700,42.026666666666700,17.790000000000000,53.900000000000000,5.900000000000000000,75.7266666666667000,17.566666666666700,40.260000000000000,18.033333333333300,47.890000000000000,17.000000000000000,45.863333333333300,5.5E+00,756.70000000000000,81.000000000000000,5.00000000000000000,29.0000000000000000,2.4E+00
90,19.356666666666700,40.790000000000000,18.700000000000000,39.730000000000000,19.290000000000000,42.000000000000000,19.066666666666700,40.026666666666700,17.290000000000000,48.900000000000000,5.660000000000000000,55.6966666666667000,18.790000000000000,37.193333333333300,19.100000000000000,44.290000000000000,17.000000000000000,40.560000000000000,5E+00,757.30000000000000,71.000000000000000,3.00000000000000000,40.0000000000000000,1E-01
50,19.290000000000000,42.090000000000000,18.700000000000000,41.400000000000000,20.323333333333300,43.700000000000000,18.790000000000000,41.230000000000000,18.356666666666700,67.996666666666700,1.666666666666670000,89.5000000000000000,18.100000000000000,39.826666666666700,19.600000000000000,48.930000000000000,16.666666666666700,43.200000000000000,2.8E+00,755.50000000000000,89.000000000000000,5.00000000000000000,29.0000000000000000,1.2E+00
